iter	RMSE
0	12.39006552
1	11.69283607
2	11.04175391
3	10.48491757
4	10.01747771
5	9.582785282
6	9.189919541
7	8.852308249
8	8.5493593
9	8.308756041
10	8.053326975
11	7.852507112
12	7.661948285
13	7.504375249
14	7.366640749
15	7.217302562
16	7.090968572
17	6.988031899
18	6.901044855
19	6.820749756
20	6.768396381
21	6.698747287
22	6.644426892
23	6.591164415
24	6.548628728
25	6.501803021
26	6.459890618
27	6.417155436
28	6.378853096
29	6.340718788
30	6.3058814
31	6.272296696
32	6.248219973
33	6.228030959
34	6.19884316
35	6.179208667
36	6.157673689
37	6.117340542
38	6.095821714
39	6.082620416
40	6.071084776
41	6.053127947
42	6.041241112
43	6.025976553
44	6.014497773
45	6.009822847
46	5.996218627
47	5.98185095
48	5.970569632
49	5.954956789
50	5.944453589
51	5.931733467
52	5.925341452
53	5.911637776
54	5.901178815
55	5.893655914
56	5.87864754
57	5.864336631
58	5.85305518
59	5.839911494
60	5.829678351
61	5.825411552
62	5.820249683
63	5.808286967
64	5.794835388
65	5.788278442
66	5.781890625
67	5.769427867
68	5.761377443
69	5.753816392
70	5.747316849
71	5.738181337
72	5.72953561
73	5.719180945
74	5.711722997
75	5.701743808
76	5.696660767
77	5.682679722
78	5.675305896
79	5.663329537
80	5.65619556
81	5.651728974
82	5.645741111
83	5.627568462
84	5.617324897
85	5.606181169
86	5.596583958
87	5.585054657
88	5.57602711
89	5.574679034
90	5.568977236
91	5.561294206
92	5.558248159
93	5.551064551
94	5.54192147
95	5.532643247
96	5.527339421
97	5.517053481
98	5.509288376
99	5.504381723
