iter	Passed	Remaining
0	133	13234
1	135	6645
2	137	4437
3	138	3334
4	141	2683
5	142	2235
6	146	1952
7	148	1712
8	150	1522
9	152	1370
10	153	1245
11	156	1144
12	157	1053
13	159	980
14	161	914
15	162	855
16	163	800
17	165	753
18	166	710
19	167	670
20	168	635
21	170	604
22	171	575
23	173	548
24	178	534
25	180	512
26	181	491
27	182	469
28	183	450
29	185	432
30	186	415
31	187	399
32	189	384
33	192	372
34	194	361
35	196	348
36	197	336
37	199	325
38	201	314
39	204	306
40	206	296
41	207	286
42	209	277
43	210	268
44	212	259
45	213	250
46	215	243
47	217	235
48	218	226
49	220	220
50	221	212
51	222	205
52	223	198
53	224	191
54	225	184
55	226	178
56	228	172
57	244	176
58	245	170
59	247	165
60	249	159
61	250	153
62	252	148
63	253	142
64	254	137
65	256	131
66	257	126
67	259	122
68	261	117
69	263	112
70	264	107
71	268	104
72	269	99
73	270	95
74	273	91
75	275	87
76	277	83
77	280	79
78	282	75
79	283	70
80	285	66
81	286	62
82	287	58
83	289	55
84	290	51
85	292	47
86	294	43
87	296	40
88	298	36
89	298	33
90	300	29
91	301	26
92	303	22
93	304	19
94	306	16
95	308	12
96	309	9
97	312	6
98	314	3
99	315	0
